"code","name","state","district","subdivision","pop","tier","lat","lon","canonical"
"SJP","Shajapur","MADHYA PRADESH","SHAJAPUR","WEST MADHYA PRADESH",69263,3,23.43,76.32,false
"SKR","Siker","RAJASTHAN","SIKAR","EAST RAJASTHAN",244497,2,27.62,75.13,true
"SKT","Sriniketan","WEST BENGAL","BIRBHUM","GANGETIC WEST BENGAL",70998,3,23.65,87.7,true
"SLC","Silchar","ASSAM","CACHAR","ASSAM & MEGHALAYA",178865,3,24.75,92.8,true
"SLG","Darjeeling","WEST BENGAL","DARJEELING","SHWB & SIKKIM",515574,2,26.67,88.37,false
"SLM","Salem","TAMILNADU","SALEM","TAMILNADU, PUDUCHERRY & KARAIKAL",917414,2,11.65,78.17,true
"SLP","Sholapur","MAHARASHTRA","SHOLAPUR","MADHYA MAHARASHTRA",997281,2,17.67,75.9,true
"SMB","Sambalpur","ODISHA","SAMBALPUR","ODISHA",189366,3,21.47,83.97,true
"SMG","Shimoga","KARNATAKA","SHIVAMOGGA","SOUTHERN INTERIOR KARNATAKA",322650,2,13.93,75.63,true
"SML","Shimla-City","HIMACHAL PRADESH","SHIMLA","HIMACHAL PRADESH",173503,3,31.1,77.17,true
"SMP","Sawai Madhopur","RAJASTHAN","SAWAI MADHOPUR","EAST RAJASTHAN",121106,3,25.98,76.37,false
"SNG","Sangli","MAHARASHTRA","SANGLI","MADHYA MAHARASHTRA",601214,2,16.85,74.6,true
"SNI","Seoni","MADHYA PRADESH","SEONI","EAST MADHYA PRADESH",102343,3,22.08,79.55,true
"SNM","Bandipora","JAMMU & KASHMIR (UT)","BANDIPORA","JAMMU & KASHMIR AND LADAKH",37081,3,34.32,75.32,false
"SOLAN","Solan","HIMACHAL PRADESH","SOLAN","HIMACHAL PRADESH",40283,3,31.06,76.93,false
"SON","Nagpur","MAHARASHTRA","NAGPUR","VIDARBHA",2405665,1,21.1,79.05,true
"SONAPUR","Sonepur","ODISHA","SONEPUR","ODISHA",20770,3,20.95,83.89,true
"SONBHADRA","Sonbhadra","UTTAR PRADESH","SONBHADRA","EAST UTTAR PRADESH",62413,3,24.39,83.04,true
"SONEPRAYAG","Soneprayag","UTTARAKHAND","RUDRAPRAYAG","UTTARAKHAND",,,30.63,78.99,true
"SONIPAT","Sonepat","HARYANA","SONEPAT","DELHI, HARYANA AND CHANDIGARH",289333,2,29.05,76.86,true
"SONITPUR","Sonitpur","ASSAM","SONITPUR","ASSAM & MEGHALAYA",75540,3,26.77,92.7,false
"SOUTH","Namchi","SIKKIM","NAMCHI","SHWB & SIKKIM",,,27.31,88.4,true
"SOUTH-DELHI","South Delhi","DELHI (UT)","SOUTH DELHI","DELHI, HARYANA AND CHANDIGARH",169122,3,28.47,77.18,false
