"code","station","state","district","subdivision","lat","lon","canonical"
"AMRELI","Amreli","GUJARAT","AMRELI","SAURASHTRA & KUTCH",21.37,71.2,false
"AMRITSAR","Amritsar","PUNJAB","AMRITSAR","PUNJAB",31.76,74.94,false
"AMT","Amravati","MAHARASHTRA","AMRAOTI","VIDARBHA",20.93,77.78,true
"ANAND","Anand","GUJARAT","ANAND","GUJARAT REGION",22.44,72.78,true
"ANANTNAG","Anantnag","JAMMU & KASHMIR (UT)","ANANTNAG","JAMMU & KASHMIR AND LADAKH",33.67,75.17,true
"ANANTPUR","Sri Sathyasai District","ANDHRA PRADESH","SRI SATHYASAI DISTRICT","RAYALSEEMA",14.45,77.62,true
"ANATNAG","Anantnag","JAMMU & KASHMIR (UT)","ANANTNAG","JAMMU & KASHMIR AND LADAKH",33.59,75.38,false
"ANDAMAN","South Andaman","ANDAMAN & NICOBAR ISLANDS (UT)","SOUTH ANDAMAN","ANDAMAN & NICOBAR ISLANDS",11.41,93.04,true
"ANG","Angul","ODISHA","ANGUL","ODISHA",20.83,85.1,true
"ANGUL","Angul","ODISHA","ANGUL","ODISHA",20.9,84.83,false
"ANJAW","Anjaw","ARUNACHAL PRADESH","ANJAW","ARUNACHAL PRADESH",28.04,96.85,true
"ANP","Anupgarh","RAJASTHAN","SRI GANGANAGAR","WEST RAJASTHAN",29.17,73.17,true
"ANT","Anantapuramu","ANDHRA PRADESH","ANANTAPURAMU","RAYALSEEMA",14.68,77.62,true
"ANUPPUR","Anuppur","MADHYA PRADESH","ANUPPUR","EAST MADHYA PRADESH",23.03,81.66,true
"ARA","Arrah","BIHAR","BHOJPUR","BIHAR",25.57,84.67,true
"ARARIA","Araria","BIHAR","ARARIA","BIHAR",26.26,87.37,true
"ARAVALLI","Aravalli","GUJARAT","ARAVALLI","GUJARAT REGION",23.49,73.42,true
"ARIYALUR","Ariyalur","TAMILNADU","ARIYALUR","TAMILNADU, PUDUCHERRY & KARAIKAL",11.15,79.23,false
"ARP","ATIRAMAPATTINAM","TAMILNADU","THANJAVUR","TAMILNADU, PUDUCHERRY & KARAIKAL",10.33,79.38,true
"ART","Lakshadweep","LAKSHADWEEP (UT)","LAKSHADWEEP","LAKSHADWEEP",10.8,73.68,true
"ARV","AROGYAVARAM","ANDHRA PRADESH","ANNAMAYYA DISTRICT","RAYALSEEMA",13.53,78.5,true
"ARWAL","Rohtas","BIHAR","ROHTAS","BIHAR",25.18,84.38,true
"ASHOKNAGAR","Ashoknagar","MADHYA PRADESH","ASHOKNAGAR","WEST MADHYA PRADESH",24.62,77.88,true
"AUGUSTMUNI","Augustmuni","UTTARAKHAND","RUDRAPRAYAG","UTTARAKHAND",30.39,79.02,true
"AURAIYA","Auraiya","UTTAR PRADESH","AURAIYA","WEST UTTAR PRADESH",26.66,79.5,true
"AURANGABAD","Aurangabad","BIHAR","AURANGABAD","BIHAR",24.81,84.38,true
"AVADI","Avadi","TAMILNADU","THIRUVALLUR","TAMILNADU, PUDUCHERRY & KARAIKAL",13.12,80.08,true
"AYL","Ariyalur","TAMILNADU","ARIYALUR","TAMILNADU, PUDUCHERRY & KARAIKAL",11.23,79.29,true
"AZAMGARH","Azamgarh","UTTAR PRADESH","AZAMGARH","EAST UTTAR PRADESH",26.05,83.09,false
"AZG","Azamgarh","UTTAR PRADESH","AZAMGARH","EAST UTTAR PRADESH",26.05,83.22,true
"AZL","Aizawl","MIZORAM","AIZAWL","NMMT",23.73,92.71,true
"Airport_IMD","Ahmedabad","GUJARAT","AHMEDABAD","GUJARAT REGION",23.0768,72.6279,false
"BABATPUR","Babatpur","UTTAR PRADESH","BHADOHI","EAST UTTAR PRADESH",25.26,82.51,true
"BADAYUN","Badaun","UTTAR PRADESH","BADAUN","WEST UTTAR PRADESH",28.06,78.89,true
"BADGAM","Badgam","JAMMU & KASHMIR (UT)","BADGAM","JAMMU & KASHMIR AND LADAKH",33.86,74.66,true
"BADRADRI","B. Kothagudem","TELANGANA","B. KOTHAGUDEM","TELANGANA",17.72,80.76,true
"BADRINATH","Badrinath","UTTARAKHAND","CHAMOLI","UTTARAKHAND",30.74,79.49,true
"BADWANI","Barwani","MADHYA PRADESH","BARWANI","WEST MADHYA PRADESH",21.75,75.03,true
"BAG","BAGATI","WEST BENGAL","HOOGHLY","GANGETIC WEST BENGAL",22.98,88.37,true
"BAGALKOT","Bagalkot","KARNATAKA","BAGALKOTE","NORTHERN INTERIOR KARNATAKA",16.17,75.65,true
"BAGALKOTE","Bagalkote","KARNATAKA","BAGALKOTE","NORTHERN INTERIOR KARNATAKA",16.29,75.66,true
"BAGESHWAR","Bageshwar","UTTARAKHAND","BAGESHWAR","UTTARAKHAND",29.9,79.82,true
